image_id,image_path,status,model,elapsed_seconds,finish_reason,raw_ground_truth,normalized_ground_truth,raw_vlm_predictions,normalized_vlm_predictions,tp,fp,fn,precision,recall,f1,exact_match,jaccard,true_positives,false_positives,false_negatives
pwhztabat8v31_jpg.rf.22b0e388b2350081380800e2bea63480.jpg,data/raw/valid/images/pwhztabat8v31_jpg.rf.22b0e388b2350081380800e2bea63480.jpg,success,qwen35-397b,0.66,stop,strawberry; blueberry; egg; milk; cheese; mayonnaise; yogurt; ketchup; pickle; cheese; bellpepper; butter,strawberry; blueberry; egg; milk; cheese; mayonnaise; yogurt; ketchup; pickle; bell pepper; butter,yogurt; ketchup; butter; milk; yogurt; water; beer; canned beverage; prepared food; lettuce; pickle; mayonnaise; jam,yogurt; ketchup; butter; milk; water; beer; soda; lettuce; pickle; mayonnaise; jam,6,5,5,0.5455,0.5455,0.5455,0,0.375,butter; ketchup; mayonnaise; milk; pickle; yogurt,beer; jam; lettuce; soda; water,bell pepper; blueberry; cheese; egg; strawberry
1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,data/raw/valid/images/1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,success,qwen35-397b,51.29,stop,eggplant; tortilla; bread; egg; bellpepper; tomato; cheese; taco sauce; ranch; steak sauce; soya sauce; milk; pickle,eggplant; tortilla; bread; egg; bell pepper; tomato; cheese; taco sauce; ranch; steak sauce; soy sauce; milk; pickle,milk; salad dressing; cheddar cheese; hot sauce; hot sauce; mustard; mayonnaise; yogurt; egg; tomato; orange bell pepper; pickle; jam; relish; soy sauce; bagel; shredded cheese; ice cream,milk; salad dressing; cheese; hot sauce; mustard; mayonnaise; yogurt; egg; tomato; bell pepper; pickle; jam; relish; soy sauce; bread; ice cream,8,8,5,0.5,0.6154,0.5517,0,0.381,bell pepper; bread; cheese; egg; milk; pickle; soy sauce; tomato,hot sauce; ice cream; jam; mayonnaise; mustard; relish; salad dressing; yogurt,eggplant; ranch; steak sauce; taco sauce; tortilla
0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,data/raw/valid/images/0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,success,qwen35-397b,247.04,stop,roasted chicken; egg; milk; bone broth; cheese; milk; butter; mustard,chicken; egg; milk; broth; cheese; butter; mustard,milk; water; water; egg; milk; mustard; vinegar; salad dressing; pasta; juice; butter; yogurt; cheese; lettuce; carrot,milk; water; egg; mustard; vinegar; salad dressing; pasta; juice; butter; yogurt; cheese; lettuce; carrot,5,8,2,0.3846,0.7143,0.5,0,0.3333,butter; cheese; egg; milk; mustard,carrot; juice; lettuce; pasta; salad dressing; vinegar; water; yogurt,broth; chicken
4mvnskt72n8e1_jpeg.rf.d6d6a59ab65353f694b0bc1d89c348c1.jpg,data/raw/valid/images/4mvnskt72n8e1_jpeg.rf.d6d6a59ab65353f694b0bc1d89c348c1.jpg,success,qwen35-397b,51.86,stop,blueberry; garlic; egg; chicken; ketchup; yogurt; mustard,blueberry; garlic; egg; chicken; ketchup; yogurt; mustard,egg; butter; yogurt; blueberry; cheese; milk; chicken; mayonnaise; mustard; jam; pickle; salad dressing; soy sauce; hot sauce; bread,egg; butter; yogurt; blueberry; cheese; milk; chicken; mayonnaise; mustard; jam; pickle; salad dressing; soy sauce; hot sauce; bread,5,10,2,0.3333,0.7143,0.4545,0,0.2941,blueberry; chicken; egg; mustard; yogurt,bread; butter; cheese; hot sauce; jam; mayonnaise; milk; pickle; salad dressing; soy sauce,garlic; ketchup
20250621_150036_jpg.rf.a973c2823304b1209f3edfe6f40eb2d8.jpg,data/raw/valid/images/20250621_150036_jpg.rf.a973c2823304b1209f3edfe6f40eb2d8.jpg,success,qwen35-397b,37.93,stop,cucumber; bellpepper; lemon/lime; banana; tomato; apple; ketchup; cheese; lettuce; greek yogurt; chicken; carrot; potato,cucumber; bell pepper; lemon; lime; banana; tomato; apple; ketchup; cheese; lettuce; yogurt; chicken; carrot; potato,lettuce; tomato; potato; cucumber; banana; cheese; bell pepper; lime; apple; peach; ketchup; yogurt; meat; cheese slice,lettuce; tomato; potato; cucumber; banana; cheese; bell pepper; lime; apple; peach; ketchup; yogurt; meat,11,2,3,0.8462,0.7857,0.8148,0,0.6875,apple; banana; bell pepper; cheese; cucumber; ketchup; lettuce; lime; potato; tomato; yogurt,meat; peach,carrot; chicken; lemon
20250620_232903_jpg.rf.738732a82979928a2e5a2495f2729304.jpg,data/raw/valid/images/20250620_232903_jpg.rf.738732a82979928a2e5a2495f2729304.jpg,success,qwen35-397b,26.58,stop,spinach; carrot; tomato; butter; yogurt; apple; tomato; cucumber; banana; blueberry; meat; pickle; bell pepper,spinach; carrot; tomato; butter; yogurt; apple; cucumber; banana; blueberry; meat; pickle; bell pepper,tomato; carrot; spinach; yogurt; cheese; chicken breast; butter; cucumber; blueberry,tomato; carrot; spinach; yogurt; cheese; chicken; butter; cucumber; blueberry,7,2,5,0.7778,0.5833,0.6667,0,0.5,blueberry; butter; carrot; cucumber; spinach; tomato; yogurt,cheese; chicken,apple; banana; bell pepper; meat; pickle
20250619_171703_jpg.rf.f2c98ffe198a124c809789b5af90b5fb.jpg,data/raw/valid/images/20250619_171703_jpg.rf.f2c98ffe198a124c809789b5af90b5fb.jpg,success,qwen35-397b,8.29,stop,carrot; pickle; chilli sauce; jam; mushroom,carrot; pickle; hot sauce; jam; mushroom,carrot; yogurt; jam; pickle; mustard; hot sauce; beer; honey; pesto,carrot; yogurt; jam; pickle; mustard; hot sauce; beer; honey; pesto,4,5,1,0.4444,0.8,0.5714,0,0.4,carrot; hot sauce; jam; pickle,beer; honey; mustard; pesto; yogurt,mushroom
0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,data/raw/valid/images/0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,success,qwen35-397b,17.57,stop,almond milk; pickle; strawberry; beans; oat milk,almond milk; pickle; strawberry; beans; oat milk,almond milk; oat milk; orange juice; prepared meal; hummus; prepared salad; pasta salad; chopped vegetables; pickle; mango; mushroom; strawberry; prepared meal; cheese; grape; prepared meal; leftover food; juice; soy sauce; leftover food,almond milk; oat milk; orange juice; hummus; salad; pickle; mango; mushroom; strawberry; cheese; grape; juice; soy sauce,4,9,1,0.3077,0.8,0.4444,0,0.2857,almond milk; oat milk; pickle; strawberry,cheese; grape; hummus; juice; mango; mushroom; orange juice; salad; soy sauce,beans
t8c0bd9je7351_jpg.rf.49ef46ac4d7e7a3d4f0816027d599b7a.jpg,data/raw/valid/images/t8c0bd9je7351_jpg.rf.49ef46ac4d7e7a3d4f0816027d599b7a.jpg,success,qwen35-397b,19.01,stop,cheese; milk; pickle; chilli sauce; yogurt; avacado; tomato; onion; hummus; strawberry; orange; mango,cheese; milk; pickle; hot sauce; yogurt; avocado; tomato; onion; hummus; strawberry; orange; mango,half and half; parmesan cheese; yogurt; pickle; mustard; mayonnaise; ketchup; avocado; lime; orange; tomato; onion; egg; bread; hummus; yogurt; strawberry; carrot; lemon,half & half; cheese; yogurt; pickle; mustard; mayonnaise; ketchup; avocado; lime; orange; tomato; onion; egg; bread; hummus; strawberry; carrot; lemon,9,9,3,0.5,0.75,0.6,0,0.4286,avocado; cheese; hummus; onion; orange; pickle; strawberry; tomato; yogurt,bread; carrot; egg; half & half; ketchup; lemon; lime; mayonnaise; mustard,hot sauce; mango; milk
cb729pj3e34e1_jpeg.rf.cccc83aabe2e8a7871fbe5234bd4619d.jpg,data/raw/valid/images/cb729pj3e34e1_jpeg.rf.cccc83aabe2e8a7871fbe5234bd4619d.jpg,success,qwen35-397b,13.91,stop,corn dog; coke; mayonnaise; meat; cheese; apple; yogurt; jam; mustard; ketchup; jam,corn dog; cola; mayonnaise; meat; cheese; apple; yogurt; jam; mustard; ketchup,corn dogs; frozen food; frozen food; frozen food; soda can; soda can; yogurt; mustard; relish; jam; jam; pickle; butter,corn dog; soda; yogurt; mustard; relish; jam; pickle; butter,4,4,6,0.5,0.4,0.4444,0,0.2857,corn dog; jam; mustard; yogurt,butter; pickle; relish; soda,apple; cheese; cola; ketchup; mayonnaise; meat
